Year,LL,LO,NL,TT,FV,AN,ME,MM
1996,0.6583514224564077,0.4138168503036338,0.1460942501201363,0.29154895949985216,,0.0,0.0,0.24988229283318544
1997,0.5665095065529053,0.1222915970693747,0.9031111938671157,0.42205591923467045,0.0,,0.0,0.0
1998,1.1237334500942116,0.26084230031853217,0.40530728096482566,0.6697540704111312,0.26084230031853217,0.0,0.20828499401469902,0.26084230031853217
1999,0.49472939984152275,0.0,0.3533593350214213,0.21084230031853216,0.2863969571159562,0.0,0.0,0.1222915970693747
2000,0.6989618704209537,0.0,0.3188980781983738,0.2799626301201589,0.1222915970693747,0.13895826373604123,0.0,0.06952964699480782
2001,0.4138168503036338,0.0,0.1222915970693747,0.0,0.0,0.1222915970693747,0.0,0.24417563365186545
2002,0.4138168503036338,0.0,0.0,0.1222915970693747,1.2125120231449158,0.5739775248775806,0.0,0.21084230031853216
